p,a_p,2p,weil_bound_ok,weight2_bound_ok
5,-1,10,True,True
7,0,14,True,True
11,0,22,True,True
13,-3,26,True,True
17,4,34,True,True
19,0,38,True,True
23,0,46,True,True
29,13,58,True,False
31,0,62,True,True
37,4,74,True,True
41,18,82,True,False
43,0,86,True,True
47,0,94,True,True
53,-16,106,True,False
59,0,118,True,True
61,-22,122,True,False
67,0,134,True,True
71,0,142,True,True
73,36,146,True,False
79,0,158,True,True
83,0,166,True,True
89,11,178,True,True
97,33,194,True,False
101,4,202,True,True
103,0,206,True,True
107,0,214,True,True
109,36,218,True,False
113,-30,226,True,False
127,0,254,True,True
131,0,262,True,True
137,-64,274,True,False
139,0,278,True,True
149,47,298,True,False
151,0,302,True,True
157,13,314,True,True
163,0,326,True,True
167,0,334,True,True
173,-16,346,True,True
179,0,358,True,True
181,-38,362,True,False
191,0,382,True,True
193,3,386,True,True
197,4,394,True,True
199,0,398,True,True
